run_date,bench,n_models,n_models_delta,n_items,PR_observed,PR_null_mean,PR_null_sd,PR_ratio,rms_R_observed,rms_R_null,commit
2026-07-26,arc,1362,1362,1165,23.564839822734434,449.63989254741443,3.0564017189479156,0.05240824983127921,0.2482666165101478,0.044900745966828484,41ff16a
2026-07-26,winogrande,1361,1361,1267,20.090803446813066,492.9763856354017,3.165235616492488,0.040754088902083714,0.2690666633310429,0.04085025771848787,41ff16a
2026-07-26,truthfulqa,1334,1334,786,17.395767024243554,309.43026429714706,2.3605646968051843,0.05621869943380307,0.29420239961451267,0.05825372611370631,41ff16a
2026-07-26,gsm8k,1228,1228,1319,118.61887430105018,553.3167283297507,2.585283347387188,0.2143778928555345,0.09867292564502834,0.034581285092049,41ff16a
2026-07-26,hellaswag,1362,1362,9404,27.25817358715904,958.3138185150335,3.9782240069029076,0.028443890780368027,0.24573511288196936,0.020615475444062302,8f2c6dc
2026-08-09,arc,3762,2400,1169,25.127160466155313,559.5080956003983,3.0726183917016296,0.04490937783338381,0.2437372243169713,0.0453340800242746,c88bc4c
2026-08-09,winogrande,3749,2388,1267,21.61084693212647,632.7651879482235,3.040450830276557,0.034153027606023734,0.26399420818486047,0.04108212627826768,c88bc4c
2026-08-09,truthfulqa,3531,2197,811,18.588501792558624,361.36570632238806,2.095079726760324,0.05143958451877865,0.29134693943651974,0.05822290754960757,c88bc4c
2026-08-09,gsm8k,3405,2177,1319,147.17873013427143,770.1555555803968,2.4625994388676617,0.19110260137428484,0.0916451718211384,0.03459425658727838,c88bc4c
2026-08-09,hellaswag,2972,1610,9802,27.512106895939876,1536.1556370255207,6.3567634823368895,0.017909713204068273,0.25081233492958627,0.020755509816954936,c88bc4c
2026-09-03,arc,4562,800,1170,25.955875300083093,571.4026551566565,3.2643845512573373,0.04542484194961782,0.24076905730168927,0.04546697528763384,d4044b6
2026-09-03,winogrande,4544,795,1267,22.058510560138842,647.1134856902269,2.511843166255027,0.03408754576735594,0.2622770783831026,0.04127088406072128,d4044b6
2026-09-03,truthfulqa,4229,698,811,18.743321913112435,367.8510070822257,1.8050507434000993,0.05095356965795324,0.29009689528249166,0.05816353721897225,d4044b6
2026-09-03,gsm8k,4164,759,1319,153.40394512522516,801.3253549697216,2.36490269287199,0.1914377776440402,0.09014141123945153,0.03464124261136882,d4044b6
2026-09-03,hellaswag,3772,800,9829,25.569408572245337,1722.0312230761979,6.862520392309429,0.014848400092635208,0.26132667303106366,0.020781876608481683,d4044b6
